"Create Date","Last Name","Company / Account","Entitlement Details"
"02/08/2021","Singtel at KCTC 2 - YCAV 1829 PA50-RBVM024567 - Retrofit","SINGAPORE TELECOMMUNICATIONS LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(V) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;"
"02/08/2021","kim chuan - YCAV 1829 PA50-RBVM024590 - Retrofit","SINGAPORE TELECOMMUNICATIONS LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(V) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;"
"02/08/2021","kim chuan - YCAV-RMVM025586 - Retrofit","SINGAPORE TELECOMMUNICATIONS LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(V) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;"
"02/08/2021","British Council - YCA70A-C0811051 - Retrofit","BUILDCOOL ENGRG SERVICES PTE LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(V) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;Airside Retrofit - AHU Replacement(V) - 150000;Airside Retrofit - w/o AHU Replacement(V) - 30000;Airside Retrofit - FCU Replacement(V) - 50000;Airside Retrofit - VSD Retrofit for AHU(V) - 150000;Airside Retrofit - EC Fan Retrofit for AHU(V) - 50000;"
"02/08/2021","Jit Poh Building - YRTDTDT0555C-50610M50023801 - Retrofit","COMMERCIAL ENGINEERING PTE LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(V) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;"
"02/08/2021","Boustead Main Office - YRXHXDR3555C-50611-N32271098 - Retrofit","ENCS ENGINEERING SDN BHD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(R) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;Airside Retrofit - AHU Replacement(V) - 150000;Airside Retrofit - w/o AHU Replacement(V) - 30000;Airside Retrofit - FCU Replacement(V) - 50000;Airside Retrofit - VSD Retrofit for AHU(V) - 150000;Airside Retrofit - EC Fan Retrofit for AHU(V) - 50000;"
"02/08/2021","Singapore General Hospital (SGH) - YPAC 15-C0901007 - Retrofit","PAET ENGINEERING PTE LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(R) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;Airside Retrofit - AHU Replacement(V) - 150000;Airside Retrofit - w/o AHU Replacement(V) - 30000;Airside Retrofit - FCU Replacement(V) - 50000;Airside Retrofit - VSD Retrofit for AHU(V) - 150000;Airside Retrofit - EC Fan Retrofit for AHU(V) - 50000;"
"02/08/2021","ST Electronics (Jurong East) - YR WD WD R2 555 C-50611-A42361540 - Retrofit","THERMAL PTE LTD","York Tube Cleaning System(V) - 12000;VSD Starter Retrofit(V) - 100000;Performance Guaranteed Project(V) - 50000;ASHRAE Levels 1 and 2 Energy Audit(R) - 5000;ASHRAE Level 3 Energy Audit(V) - 30000;Chiller Plant Optimisation Control Retrofit(V) - 50000;Chiller Plant System Retrofit w/o Chiller(V) - 50000;Airside Retrofit - AHU Replacement(V) - 150000;Airside Retrofit - w/o AHU Replacement(V) - 30000;Airside Retrofit - FCU Replacement(V) - 50000;Airside Retrofit - VSD Retrofit for AHU(V) - 150000;Airside Retrofit - EC Fan Retrofit for AHU(V) - 50000;"
"02/08/2021","Google Wen3 (LYW) (Zone 0 & 1) - YK-50611H-97858787 - L&M","SATO KOGYO (S) PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(V) - 5000;Electronic Components Replacement(V) - 20000;Thrust Bearing Inspection(V) - 10000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(R) - 1000;Chiller End-Sheet Coating(R) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;Compressor Overhaul(V) - 65000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Thye Hua Kwan Hospital - YMC2-50611H-65126049 - L&M","DEG Engineering Pte Ltd","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Chemical Descaling(V) - 2000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
